name,card_type,battle_modifier,price,hands,armor,feet,head,class_limit,race_limit,gender_limit,special_use,big,roll_modifier,expansion
Staff Of Napalm,Weapon,5,800,1,0,,,{'Wizard':True},{},{},{},,0,Munchkin
Really Impressive Title,Item,3,0,0,1,,,{},{},{},{},,0,Munchkin
Cheese Grater Of Peace,Weapon,3,400,1,,,,{'Cleric':True},{},{},{},,0,Munchkin
Instant Wall,Item,0,300,0,,,,{},{},{},{'Fight':'End'},,0,Munchkin
Freezing Explosive Potion,Item,3,100,0,,,,{},{},{},{'Sides':'Both'},,0,Munchkin
Transferral Potion,Item,0,300,0,,,,{},{},{},"{'Fight':'End','Room':'Loot','Player':'Choose'}",,0,Munchkin
Cotion of Ponfusion,Item,3,100,0,,,,{},{},{},{Sides:Both},,0,Munchkin
Rat On A Stick,Weapon,1,0,1,,,,{},{},{},{Run Away:Level 8},,0,Munchkin
Sneaky Bastard Sword,Weapon,2,400,1,,,,{},{},{},{},,0,Munchkin
Wand Of Dowsing,Item,0,1100,0,,,,{},{},{},{Discard:Add Card},,0,Munchkin
Wishing Ring 1,Item,0,500,0,,,,{},{},{},{Curse:Cancel},,0,Munchkin
Boil An Anthill,GUAL,0,0,0,,,,{},{},{},{Level:1},,0,Munchkin
Flaming Armor,Armor,2,400,0,1,,,{},{},{},{},,0,Munchkin
Bow With Ribbons,Weapon,4,800,2,,,,{'Elf':True},{},{},{},,0,Munchkin
Boots of Butt-Kicking,Armor,2,400,0,,1,,{},{},{},{},,0,Munchkin
Bribe GM With Food,GUAL,0,0,0,,,,{},{},{},{Level:1},,0,Munchkin
Hoard!,Item,0,0,0,,,,{},{},{},{Treasure:3},,0,Munchkin
Pollymorph Potion,Item,0,1300,0,,,,{},{},{},"{Fight:End,Treasure:Monster.treasure}",,0,Munchkin
"1,000 Gold Pieces",GUAL,0,0,0,,,,{},{},{},{Level:1},,0,Munchkin
Kill The Hireling,GUAL,0,0,0,,,,{},{},{},"{Remove: Hireling, Level:1}",,0,Munchkin
Hireling,Item,1,0,0,,,,{},{},{},"{Hands:1, Run Away:True,Big:1}",,0,Munchkin
Whine At The GM,GUAL,0,0,0,,,,{},{},{},{Level:1},,0,Munchkin
Friendship Potion,Item,0,200,0,,,,{},{},{},"{Fight:End,Room:Loot}",,0,Munchkin
Steal A Level,GUAL,0,0,0,,,,{},{},{},"{Level:1,Player:Choose,Level:-1}",,0,Munchkin
Convenient Addition Error,GUAL,0,0,0,,,,{},{},{},{Level:1},,0,Munchkin
Bad-Ass Bandana,Armor,3,400,0,,,1,{},{'Human':True},{},{},,0,Munchkin
Shield of Ubiquity,Weapon,4,600,1,,,,{'Wizard':True},{},{},{},1,0,Munchkin
Invoke Obscure Rules,GUAL,0,0,0,,,,{},{},{},{Level:1},,0,Munchkin
Magic Lamp,Item,0,500,0,,,,{},{},{},"{Fight:End, Treasure:Monster.treasure}",,0,Munchkin
Leather Armor,Armor,1,200,0,1,,,{},{},{},{},,0,Munchkin
Eleven-Foot Pole,Weapon,1,200,2,,,,{},{},{},{},,0,Munchkin
Buckler Of Swashing,Weapon,2,400,1,,,,{},{},{},{},,0,Munchkin
Wishing Ring 2,Item,0,500,0,,,,{},{},{},{Curse:Cancel},,0,Munchkin
Sleep Potion,Item,2,100,0,,,,{},{},{},{Sides:Both},,0,Munchkin
Singing & Dancing Sword,Item,2,400,0,,,,{'Thief':False},{},{},{},,0,Munchkin
Mutilate The Bodies,GUAL,0,0,0,,,,{},{},{},"{Level:1,Fight:After}",,0,Munchkin
Swiss Army Polearm,Weapon,4,600,2,,,,{},{'Human':True},{},{},1,0,Munchkin
Helm Of Courage,Armor,1,200,0,,,1,{},{},{},{},,0,Munchkin
Horny Helmet,Armor,1,600,0,,,1,{},{},{},{'Elf':2},,0,Munchkin
Flaming Poison Potion,Item,3,100,0,,,,{},{},{},{Sides:Both},,0,Munchkin
Magic Missle,Item,5,300,0,,,,{},{},{},{Sides:Both},,0,Munchkin
Doppelganger,Item,0,300,0,,,,{},{},{},"{Battle Modifer:Player.power, Help:False}",,0,Munchkin
Broad Sword,Weapon,3,400,1,,,,{},{},{'Female':True},{},,0,Munchkin
Pantyhose Of Giant Strength,Armor,3,600,0,,,,{'Warrior':False},{},{},{},,0,Munchkin
Boots Of Running Really Fast,Armor,0,400,0,,1,,{},{},{},{},,2,Munchkin
Hammer Of Kneecapping,Weapon,4,600,1,,,,{'Dwarf':True},{},{},{},,0,Munchkin
Electric Radioactive Acid Potion,Item,5,200,0,,,,{},{},{},{Sides:Both},,0,Munchkin
Pointy Hat Of Power,Armor,3,400,0,,,1,{'Wizard':True},{},{},{},,0,Munchkin
Mace Of Sharpness,Weapon,4,600,1,,,,{'Cleric':True},{},{},{},,0,Munchkin
Gentlemen's Club,Weapon,3,400,1,,,,{},{},{'Male':True},{},,0,Munchkin
Potion Of General Studliness,GUAL,0,0,0,,,,{},{},{},{Level:1},,0,Munchkin
Huge Rock,Weapon,3,0,2,,,,{},{},{},{},1,0,Munchkin
Sandals Of Protection,Armor,0,700,0,,1,,{},{},{},{Drawn Curse:False},,0,Munchkin
Spiky Knees,Armor,1,200,0,,,,{},{},{},{},,0,Munchkin
Chainsaw Of Bloody Dismemberment,Weapon,3,600,2,,,,{},{},{},{},1,0,Munchkin
Mithril Armor,Armor,3,600,0,1,,,{'Wizard':False},{},{},{},1,0,Munchkin
Nasty Tasting Sports Drink,Item,2,200,0,,,,{},{},{},{Sides:Both},1,0,Munchkin
Potion Of Halitosis,Item,2,100,0,,,,{},{},{},"{Sides:Both, Flying Nose:Kill}",,0,Munchkin
Flask Of Glue,Item,0,100,0,,,,{},{},{},"{Roll:Again,Roll:After}",,0,Munchkin
Potion Of Idiotic Bravery,Item,2,100,0,,,,{},{},{},{Sides:Both},,0,Munchkin
Invisibility Potion,Item,0,200,0,,,,{},{},{},{Roll:True},,0,Munchkin
Dagger Of Treachery,Weapon,3,400,1,,,,{'Thief':True},{},{},{},,0,Munchkin
Limburger And Anchovy Sandwich,Weapon,3,400,0,,,,{},{'Halfling':True},{},{},,0,Munchkin
Pretty Balloons,Item,5,0,0,,,,{},{},{},{Sides:Both},,0,Munchkin
Yuppie Water,Item,0,100,0,,,,{},{'Elf':True},{},{Elf:2},,0,Munchkin
Rapier Of Unfairness,Weapon,3,600,1,,,,{},{'Elf':True},{},{},,0,Munchkin
Tuba Of Charm,Weapon,0,300,1,,,,{},{},{},{Treasure:1},1,3,Munchkin
Cloak Of Obscurity,Armor,4,600,0,,,,{'Thief':True},{},{},{},,0,Munchkin
Stepladder,Weapon,3,400,0,,,,{},{'Halfling':True},{},{},1,0,Munchkin
Kneepads Of Allure,Item,0,600,0,,,,{'Cleric':False},{},{},{Help:Higher Player},,0,Munchkin
Short Wide Armor,Armor,3,400,0,1,,,{},{'Dwarf':True},{},{},,0,Munchkin
Slimy Armor,Armor,1,200,0,1,,,{},{},{},{},,0,Munchkin
Loaded Die,Item,0,300,0,,,,{},{},{},{Roll:True},,0,Munchkin
